Title,Division
,
(재)지도자육성재단 참빛장학생 선발안내,장학
,
2008학년도 사리원시 봉산군 장학회 장학생 선발 공고,장학
,
2008학년도 1학기 농촌희망대학 장학생 선발 안내,장학
,
2008 인도네시아정부 초청 Darmasiswa 장학생 선발 안내,장학
,
재단법인 함경북도장학회 2008년도 장학생 모집,장학
,
2008년도 1학기 정부보증 학자금대출 안내,장학
,
한국고등교육재단 장학생 선발,장학
,
2008학년도 산학협동재단 일반장학생 선발안내,장학
,
< 이·공계 인재 육성 장학금 > 8차 장학생 선발 안내,장학
,
“G마켓 희망 장학금” 세부운영 안내,장학
,
2008-1학기 숙명면학장려/후생복지 장학금 장학생 추가선발 안내,장학
,
08년 1월 19일 MATE 졸업자격시험 시행 안내,학사
,
숙명인 영어인재화 프로젝트~~!!,모집
,
[12.24~28] 학생서비스센터 보관습득물 안내,모집
,
"[학부]2008년 1학기 휴학,복학 일정 안내",학사
,
"[대학원]2008년 1학기 휴학, 복학 신청 안내",학사
,
08년 1월 19일 MATE 졸업자격시험 시행 안내,학사
,
교내 행정부서 단기 아르바이트 모집,모집
,
국제언어교육원 영어강좌 강의계획안,모집
,
교양 '결혼과가족' 수강신청 전에 읽어보세요.,학사
,
[경영전문대학원] 전임조교모집,모집
,
2008 미국하계리더십연수 최종 합격자 명단 공지,학사
,
커뮤니티숙명 'e-민원센터'가 달라졌습니다.,모집
,
2008-1학기 숙명면학장려/후생복지 장학금 장학생 추가선발 안내,장학
,
“G마켓 희망 장학금” 세부운영 안내,장학
,
< 이·공계 인재 육성 장학금 > 8차 장학생 선발 안내,장학
,
2008학년도 산학협동재단 일반장학생 선발안내,장학
,
한국고등교육재단 장학생 선발,장학
,
2008년도 1학기 정부보증 학자금대출 안내,장학
,
재단법인 함경북도장학회 2008년도 장학생 모집,장학
,
2008 인도네시아정부 초청 Darmasiswa 장학생 선발 안내,장학
,
2008학년도 1학기 농촌희망대학 장학생 선발 안내,장학
,
2008학년도 사리원시 봉산군 장학회 장학생 선발 공고,장학
,
(재)지도자육성재단 참빛장학생 선발안내,장학
,
08년 1월 19일 MATE 졸업자격시험 시행 안내,학사
,
동파방지 안내(문단속 철저!),학사
,
2008-1 교양교과목 학점취득 특별시험 실시 안내,학사
,
숙명인 영어인재화 프로젝트~~!!,모집
,
장갑잃어버린분-교내여행사,학생
,
[공지] 학칙개정안,학사
,
2007 교직복수(부)전공이수예정자 추가선발안내,학사
,
[경영전문대학원] 전임조교모집,모집
,
박코치 소리영어 훈련소,모집
,
동계 사회봉사교과목 자료 입력 및 제출 안내,학사
,
08년 1월 19일 MATE 졸업자격시험 시행 안내,학사
,
2007년 1월 5일(토) MOS테스트 시간안내,학사
,
2008학년도 1학기 정부보증학자금 대출 안내,장학
,
우수학생장학금 장학생 선발안내,장학
,
2008학년도 1학기 정부보증학자금 대출 안내,장학
,
제21회 국제생물올림피아드 (IBO 2010) 행사 장소 공모,행사
,
항공사별 항공권 특가모음,학생
,
“G마켓 희망 장학금” 세부운영 안내,장학
,
< 이·공계 인재 육성 장학금 > 8차 장학생 선발 안내,장학
,
2008학년도 산학협동재단 일반장학생 선발안내,장학
,
한국고등교육재단 장학생 선발,장학
,
2008년도 1학기 정부보증 학자금대출 안내,장학
,
재단법인 함경북도장학회 2008년도 장학생 모집,장학
,
2008 인도네시아정부 초청 Darmasiswa 장학생 선발 안내,장학
,
2008학년도 1학기 농촌희망대학 장학생 선발 안내,장학
,
2008학년도 사리원시 봉산군 장학회 장학생 선발 공고,장학
,
(재)지도자육성재단 참빛장학생 선발안내,장학
,
우수학생장학금 장학생 선발안내,장학
,
08년 1월 19일 MATE 졸업자격시험 시행 안내,학사
,
[링구아] 박코치 소리영어 훈련소,모집
,
순헌관 옥상 이름,학사
,
[중문] 중어중문학과 전임조교 모집합니다.,모집
,
2008 일본어문화체험 프로그램 연수단 모집,모집
,
호주 및 구주 항공권 항공사별특가모음,학사
,
동계 사회봉사교과목 입력/제출 기간연장,학사
,
“G마켓 희망 장학금” 세부운영 안내,장학
,
< 이·공계 인재 육성 장학금 > 8차 장학생 선발 안내,장학
,
2008학년도 산학협동재단 일반장학생 선발안내,장학
,
한국고등교육재단 장학생 선발,장학
,
2008년도 1학기 정부보증 학자금대출 안내,장학
,
재단법인 함경북도장학회 2008년도 장학생 모집,장학
,
2008 인도네시아정부 초청 Darmasiswa 장학생 선발 안내,장학
,
2008학년도 1학기 농촌희망대학 장학생 선발 안내,장학
,
2008학년도 사리원시 봉산군 장학회 장학생 선발 공고,장학
,
(재)지도자육성재단 참빛장학생 선발안내,장학
,
우수학생장학금 장학생 선발안내,장학
,
각항공사별 특가모음 1,학사
,
호주및 구주 항공권 특가모음,학사
,
08년 1월 19일 MATE 졸업자격시험 시행 안내,학사
,
2008년 아시아 지역 유학생,모집
,
2008학년도 정수장학회 장학생 선발안내,장학
,
“G마켓 희망 장학금” 세부운영 안내,장학
,
< 이·공계 인재 육성 장학금 > 8차 장학생 선발 안내,장학
,
2008학년도 산학협동재단 일반장학생 선발안내,장학
,
한국고등교육재단 장학생 선발,장학
,
재단법인 함경북도장학회 2008년도 장학생 모집,장학
,
2008 인도네시아정부 초청 Darmasiswa 장학생 선발 안내,장학
,
2008학년도 1학기 농촌희망대학 장학생 선발 안내,장학
,
2008학년도 사리원시 봉산군 장학회 장학생 선발 공고,장학
,
(재)지도자육성재단 참빛장학생 선발안내,장학
,
우수학생장학금 장학생 선발안내,장학
,
2008년도 1학기 정부보증 학자금대출 안내,장학
,
[국제언어교육원] 박코치 소리영어 훈련소,모집
,
항공권 특가모음 1탄,학사
,
항공권 특가모음 2탄,학사
,
[2007.12.31~2008.01.04] 학생서비스센터 보관습득물 안내,장학
,
08년 1월 19일 MATE 졸업자격시험 시행 안내,학사
,
08년 2월 졸업예정자 계속수학 신청 안내,학사
,
[조교모집] 중어중문학과 조교를 모집합니다.,모집
,
2007년 1월 11일(금) MOS테스트 시간안내,행사
,
문헌정보학과 관리조교 모집,모집
,
2008년 2월 졸업예정자 (최종) 졸업초과학점 포기 안내,학사
,
“G마켓 희망 장학금” 세부운영 안내,장학
,
< 이·공계 인재 육성 장학금 > 8차 장학생 선발 안내,장학
,
2008학년도 산학협동재단 일반장학생 선발안내,장학
,
한국고등교육재단 장학생 선발,장학
,
재단법인 함경북도장학회 2008년도 장학생 모집,장학
,
2008 인도네시아정부 초청 Darmasiswa 장학생 선발 안내,장학
,
2008학년도 1학기 농촌희망대학 장학생 선발 안내,장학
,
2008학년도 사리원시 봉산군 장학회 장학생 선발 공고,장학
,
(재)지도자육성재단 참빛장학생 선발안내,장학
,
우수학생장학금 장학생 선발안내,장학
,
2008년도 1학기 정부보증 학자금대출 안내,장학
,
2008학년도 정수장학회 장학생 선발안내,장학
,
08년 1월 19일 MATE 졸업자격시험 시행 안내,학사
,
“G마켓 희망 장학금” 세부운영 안내,장학
,
2008학년도 산학협동재단 일반장학생 선발안내,장학
,
한국고등교육재단 장학생 선발,장학
,
재단법인 함경북도장학회 2008년도 장학생 모집,장학
,
2008 인도네시아정부 초청 Darmasiswa 장학생 선발 안내,장학
,
2008학년도 1학기 농촌희망대학 장학생 선발 안내,장학
,
2008학년도 사리원시 봉산군 장학회 장학생 선발 공고,장학
,
(재)지도자육성재단 참빛장학생 선발안내,장학
,
우수학생장학금 장학생 선발안내,장학
,
2008학년도 정수장학회 장학생 선발안내,장학
,
[2008.1.7~11] 학생서비스 센터 보관습득물 공지,모집
,
제61차 MATE 정기시험 시행 안내,학사
,
2008학년도 전기 학부 재입학 2차 여석,학사
,
“G마켓 희망 장학금” 세부운영 안내,장학
,
한국고등교육재단 장학생 선발,장학
,
재단법인 함경북도장학회 2008년도 장학생 모집,장학
,
2008 인도네시아정부 초청 Darmasiswa 장학생 선발 안내,장학
,
2008학년도 1학기 농촌희망대학 장학생 선발 안내,장학
,
2008학년도 사리원시 봉산군 장학회 장학생 선발 공고,장학
,
우수학생장학금 장학생 선발안내,장학
,
2008학년도 정수장학회 장학생 선발안내,장학
,
2008 일본 니가타현 초청 연구장학생 선발,장학
,
2008/2009 대만정부 초청 장학생 선발요강,장학
,
2008 신라문화장학재단 장학생 공개선발,장학
,
한국지도자육성장학재단 장학생 선발공고,장학
,
2008년도 1학기 정부보증 학자금대출 안내,장학
,
[1/17]학생일반우편 도착알림,학사
,
2008년 1월 19일(토) MOS테스트 시간안내,학사
,
[일본학과]일본어문화체험프로그램 모집연장-18일까지,모집
,
2008학년도 학사일정표 안내(학부),학사
,
2008-1 교양교과목 학점취득 특별시험 실시안내,학사
,
제61차 MATE 정기시험 시행 안내,학사
,
2008-1 조교제도 안내문,장학
,
방학 중 IPTV 운영 안내,행사
,
[일본학과]일본어문화체험 참가자모집 기한 연장(21일까지),모집
,
[디자인학부] 실습실 관리조교 모집,모집
,
<총학생회MUV>집행부원을 모집합니다.,모집
,
“G마켓 희망 장학금” 세부운영 안내,장학
,
한국고등교육재단 장학생 선발,장학
,
2008 인도네시아정부 초청 Darmasiswa 장학생 선발 안내,장학
,
2008학년도 1학기 농촌희망대학 장학생 선발 안내,장학
,
우수학생장학금 장학생 선발안내,장학
,
2008 일본 니가타현 초청 연구장학생 선발,장학
,
2008/2009 대만정부 초청 장학생 선발요강,장학
,
2008 신라문화장학재단 장학생 공개선발,장학
,
2008년도 1학기 정부보증 학자금대출 안내,장학
,
건강체력실 2월 회원 모집합니다.,모집
,
우수봉사상(두레/섬김장학금) 추천 안내,장학
,
2008-1 강의시간표 배부,행사
,
2008년도 1학기 농촌출신대학생 학자금 무이자융자 신청요강,장학
,
프랑스정부초청 '블레즈파스칼'장학생 선발안내,장학
,
제61차 MATE 정기시험 시행 안내,학사
,
항공권특가모음,학사
,
[총학생회MUV] 집행부원을 모집합니다.,모집
,
설 귀성 국내선항공권 판매,학생
,
“G마켓 희망 장학금” 세부운영 안내,장학
,
한국고등교육재단 장학생 선발,장학
,
2008 인도네시아정부 초청 Darmasiswa 장학생 선발 안내,장학
,
2008학년도 1학기 농촌희망대학 장학생 선발 안내,장학
,
우수학생장학금 장학생 선발안내,장학
,
2008/2009 대만정부 초청 장학생 선발요강,장학
,
2008 신라문화장학재단 장학생 공개선발,장학
,
2008년도 1학기 정부보증 학자금대출 안내,장학
,
2008년도 1학기 농촌출신대학생 학자금 무이자융자 신청요강,장학
,
[1/22]학생일반우편 도착알림,학사
,
프랑스정부초청 '블레즈파스칼'장학생 선발안내,장학
,
[학부]기 수료자중 졸업가능자 졸업신청하세요.,모집
,
[총학생회MUV]집행부원을 모집합니다.,모집
,
홍콩중문대학 MA programme 안내(Department of History),학사
,
[추천 설명회] PSAT(공직적성검사) 설명회 개최 안내,학사
,
2008-1 교양교과목 학점취득특별시험실시 안내,학사
,
[국문]이야기창작 멘티모집,모집
,
[국문]한국어교사 양성과정 멘티 모집,모집
,
[국문] 학생회 집행부 모집,모집
,
“G마켓 희망 장학금” 세부운영 안내,장학
,
한국고등교육재단 장학생 선발,장학
,
2008 인도네시아정부 초청 Darmasiswa 장학생 선발 안내,장학
,
2008학년도 1학기 농촌희망대학 장학생 선발 안내,장학
,
우수학생장학금 장학생 선발안내,장학
,
2008/2009 대만정부 초청 장학생 선발요강,장학
,
2008 신라문화장학재단 장학생 공개선발,장학
,
2008년도 1학기 정부보증 학자금대출 안내,장학
,
2008년도 1학기 농촌출신대학생 학자금 무이자융자 신청요강,장학
,
인터넷 서비스 일시 중단 안내,행사
,
프랑스정부초청 '블레즈파스칼'장학생 선발안내,장학
,
87차(12월) 학사퀴즈 당첨자 발표!!,행사
,
MATE 졸업자격시험안내입니다.,행사
,
문과대학-휴머니타스 보세요,학사
,
2008-2009 인도네시아정부 초청 장학생 선발요강,장학
,
삼성전자 안승준 전무의 직업과 경력개발 수강생 모집,모집
,
“G마켓 희망 장학금” 세부운영 안내,장학
,
한국고등교육재단 장학생 선발,장학
,
2008 인도네시아정부 초청 Darmasiswa 장학생 선발 안내,장학
,
2008학년도 1학기 농촌희망대학 장학생 선발 안내,장학
,
우수학생장학금 장학생 선발안내,장학
,
2008/2009 대만정부 초청 장학생 선발요강,장학
,
2008 신라문화장학재단 장학생 공개선발,장학
,
2007학년도 학위수여식 개최 안내,학사
,
2008년도 1학기 정부보증 학자금대출 안내,장학
,
2008년도 1학기 농촌출신대학생 학자금 무이자융자 신청요강,장학
,
2008-2009 인도네시아정부 초청 장학생 선발요강,장학
,
프랑스정부초청 '블레즈파스칼'장학생 선발안내,장학
,
우수봉사상(두레/섬김장학금) 추천 안내,장학
,
MATE 졸업자격시험안내입니다.,행사
,
[국문] <한국아동.청소년문학>개설학기 변경,모집
,
제61차 MATE 정기시험 시행 안내,학사
,
[총학생회MUV] 집행부원 모집합니다.,모집
,
2008년 1월 26일(토) MOS테스트 시간안내,학사
,
08년 2월 MATE 졸업자격시험 시행 안내,학사
,
국제관계대학원 2008학년도 전기 추가모집안내,장학
,
2007 교직복수(부)전공이수예정자 추가선발확정 공지,학사
,
영문학부 행정조교 모집,모집
,
2008/2009 중국정부 초청 장학생 선발 요강,장학
,
2008 IT여성 취업 컨퍼런스 안내,모집
,
“G마켓 희망 장학금” 세부운영 안내,장학
,
한국고등교육재단 장학생 선발,장학
,
2008 인도네시아정부 초청 Darmasiswa 장학생 선발 안내,장학
,
2008학년도 1학기 농촌희망대학 장학생 선발 안내,장학
,
우수학생장학금 장학생 선발안내,장학
,
2008/2009 대만정부 초청 장학생 선발요강,장학
,
2008 신라문화장학재단 장학생 공개선발,장학
,
2008년도 1학기 정부보증 학자금대출 안내,장학
,
2008년도 1학기 농촌출신대학생 학자금 무이자융자 신청요강,장학
,
2008-2009 인도네시아정부 초청 장학생 선발요강,장학
,
프랑스정부초청 '블레즈파스칼'장학생 선발안내,장학
,
08년 2월 MATE 졸업자격시험 시행 안내,학사
,
MATE 졸업자격시험안내입니다.,행사
,
(재공지) 항공권특가모음,학사
,
새로나온 항공권특가,행사
,
08.1학기 숙명면학장려/후생복지장학금 장학생 선발 공지,장학
,
호주 에어텔 상품,학생
,
영문학부 행정조교 모집(1/31까지),모집
,
[국문]한국.아동청소년문학 개설학기 변경,모집
,
“G마켓 희망 장학금” 세부운영 안내,장학
,
한국고등교육재단 장학생 선발,장학
,
2008 인도네시아정부 초청 Darmasiswa 장학생 선발 안내,장학
,
2008학년도 1학기 농촌희망대학 장학생 선발 안내,장학
,
우수학생장학금 장학생 선발안내,장학
,
2008/2009 대만정부 초청 장학생 선발요강,장학
,
2008 신라문화장학재단 장학생 공개선발,장학
,
2008년도 1학기 정부보증 학자금대출 안내,장학
,
2008년도 1학기 농촌출신대학생 학자금 무이자융자 신청요강,장학
,
2008-2009 인도네시아정부 초청 장학생 선발요강,장학
,
프랑스정부초청 '블레즈파스칼'장학생 선발안내,장학
,
[1/29]학생일반우편 도착알림,학사
,
일본여학사협회 장학생 추천,장학
,
박코치 소리영어 훈련소 특강,모집
,
우수봉사상(두레/섬김장학금) 추천 안내,장학
,
우수학생장학금 장학생 선발 발표 연기,장학
,
사회봉사교과목 수강안내,모집
,
08년 2월 MATE 졸업자격시험 시행 안내,학사
,
MATE 졸업자격시험안내입니다.,행사
,
“G마켓 희망 장학금” 세부운영 안내,장학
,
한국고등교육재단 장학생 선발,장학
,
2008 인도네시아정부 초청 Darmasiswa 장학생 선발 안내,장학
,
2008학년도 1학기 농촌희망대학 장학생 선발 안내,장학
,
우수학생장학금 장학생 선발안내,장학
,
2008/2009 대만정부 초청 장학생 선발요강,장학
,
2008 신라문화장학재단 장학생 공개선발,장학
,
2008년도 1학기 정부보증 학자금대출 안내,장학
,
2008년도 1학기 농촌출신대학생 학자금 무이자융자 신청요강,장학
,
2008-2009 인도네시아정부 초청 장학생 선발요강,장학
,
프랑스정부초청 '블레즈파스칼'장학생 선발안내,장학
,
일본여학사협회 장학생 추천,장학
,
우수학생장학금 장학생 선발 발표 연기,장학
,
2008년도 재단법인 금강장학회 장학생 선발 요강,장학
,
08.1학기 숙명면학장려/후생복지장학금 장학생 선발 공지,장학
,
신편입생 신체검사 안내,학사
,
학사퀴즈 풀고 랜드시네마로~,학사
,
2008-1 학/석사연계과정 합격자 발표,학사
,
“G마켓 희망 장학금” 세부운영 안내,장학
,
한국고등교육재단 장학생 선발,장학
,
2008 인도네시아정부 초청 Darmasiswa 장학생 선발 안내,장학
,
2008학년도 1학기 농촌희망대학 장학생 선발 안내,장학
,
우수학생장학금 장학생 선발안내,장학
,
2008/2009 대만정부 초청 장학생 선발요강,장학
,
[국문]한국아동.청소년문학 개설학기 변경,모집
,
08년 2월 MATE 졸업자격시험 시행 안내,학사
,
2008 신라문화장학재단 장학생 공개선발,장학
,
MATE 졸업자격시험안내입니다.,행사
,
[국문]이야기창작 멘티 추가 모집,모집
,
2008년도 1학기 정부보증 학자금대출 안내,장학
,
2008년도 1학기 농촌출신대학생 학자금 무이자융자 신청요강,장학
,
2008-2009 인도네시아정부 초청 장학생 선발요강,장학
,
2008년도 금강장학회 장학생 선발 요강,장학
,
우수학생장학금 장학생 선발 발표 연기,장학
,
<안물바센터>안물바정리,학사
,
2008년 2월 2일(토) MOS테스트 시간안내,학사
,
Stanford University Summer Session 2008 모집 공고,모집
,
1학기 사회봉사교과목 수강안내,학사
,
[학부]졸업심사결과 조회 안내,학사
,
08년 2월 MATE 졸업자격시험 시행 안내,학사
,
MATE 졸업자격시험안내입니다.,행사
,
“G마켓 희망 장학금” 세부운영 안내,장학
,
한국고등교육재단 장학생 선발,장학
,
2008 인도네시아정부 초청 Darmasiswa 장학생 선발 안내,장학
,
2008학년도 1학기 농촌희망대학 장학생 선발 안내,장학
,
우수학생장학금 장학생 선발안내,장학
,
2008/2009 대만정부 초청 장학생 선발요강,장학
,
2008 신라문화장학재단 장학생 공개선발,장학
,
2008년도 1학기 정부보증 학자금대출 안내,장학
,
2008년도 1학기 농촌출신대학생 학자금 무이자융자 신청요강,장학
,
2008-2009 인도네시아정부 초청 장학생 선발요강,장학
,
2008년도 금강장학회 장학생 선발 요강,장학
,
<안물바센터>안물바정리,학사
,
[경영전문대학원] 행정인턴모집(객원기자),모집
,
2008학년도 신입생 등록안내,장학
,
우수학생장학금 장학생 선발 발표 연기,장학
,
2008-1 학점취득특별시험 실시 안내,학사
,
[H.Report 제19호] 브랜드는 리뉴얼과 리포지셔닝을 통해..,행사
,
[경영전문대학원] 최고경영자과정 SELP 2기 모집,모집
,
2008학년도 이공계대학원연구장학생 지원 안내,장학
,
[1/14~18] 학생서비스 센터 보관습득물 안내,행사
,
[1/21~25] 학생서비스센터 보관습득물 안내,학사
,
[1/28~2/1] 학생서비스센터 보관습득물 안내,학사
,
[필독] 수강신청이 안되는 경우,학사
,
학/석사연계과정생 수강신청 안내,학사
,
08년 2월 MATE 졸업자격시험 시행 안내,학사
,
MATE 졸업자격시험안내입니다.,행사
,
<안물바센터>안물바정리,학사
,
"학위복 대여에 관한 공지사항(학사,석사,박사)",학사
,
2008 신입생 오리엔테이션 안내,행사
,
“G마켓 희망 장학금” 세부운영 안내,장학
,
한국고등교육재단 장학생 선발,장학
,
2008 인도네시아정부 초청 Darmasiswa 장학생 선발 안내,장학
,
2008/2009 대만정부 초청 장학생 선발요강,장학
,
2008 신라문화장학재단 장학생 공개선발,장학
,
2008년도 1학기 정부보증 학자금대출 안내,장학
,
2008년도 1학기 농촌출신대학생 학자금 무이자융자 신청요강,장학
,
2008-2009 인도네시아정부 초청 장학생 선발요강,장학
,
2008년도 금강장학회 장학생 선발 요강,장학
,
[2008-1] 재학생 등록안내(학부 및 일반/특수/원격/전문대학원),학사
,
2008학년도 이공계대학원연구장학생 지원 안내,장학
,
교내 행정부서 단기 아르바이트 모집,모집
,
문신미술관 임시휴관안내,행사
,
<안물바센터>안물바정리,학사
,
MATE 졸업자격시험안내입니다.,행사
,
08년 2월 MATE 졸업자격시험 시행 안내,학사
,
“G마켓 희망 장학금” 세부운영 안내,장학
,
한국고등교육재단 장학생 선발,장학
,
2008 인도네시아정부 초청 Darmasiswa 장학생 선발 안내,장학
,
2008/2009 대만정부 초청 장학생 선발요강,장학
,
2008 신라문화장학재단 장학생 공개선발,장학
,
2008년도 1학기 정부보증 학자금대출 안내,장학
,
2008년도 1학기 농촌출신대학생 학자금 무이자융자 신청요강,장학
,
2008-2009 인도네시아정부 초청 장학생 선발요강,장학
,
2008년도 금강장학회 장학생 선발 요강,장학
,
2008학년도 이공계대학원연구장학생 지원 안내,장학
,
[디자인학부] 실습실 관리조교 모집,모집
,
사회봉사교과목 수강안내,모집
,
신입생영어 결과 발표,행사
,
<2008년도 이공계 국가장학생 선발 안내>,장학
,
시스템 업그레이드로 인한 IPTV 송출 일시중지 안내,행사
,
“G마켓 희망 장학금” 세부운영 안내,장학
,
한국고등교육재단 장학생 선발,장학
,
2008 인도네시아정부 초청 Darmasiswa 장학생 선발 안내,장학
,
2008/2009 대만정부 초청 장학생 선발요강,장학
,
2008년도 1학기 정부보증 학자금대출 안내,장학
,
2008-2009 인도네시아정부 초청 장학생 선발요강,장학
,
2008년도 금강장학회 장학생 선발 요강,장학
,
2008학년도 이공계대학원연구장학생 지원 안내,장학
,
<2008년도 이공계 국가장학생 선발 안내>,장학
,
[경영전문대학원] 객원기자모집 마감,모집
,
"진리관, 백주년기념관 난방기 고장(2/11-2/12)",학사
,
2008학년도 숙명 글로벌화 프로젝트,장학
,
2008 신입생 및 편입생 등록(환불) 안내,학사
,
한국어 시간강사 채용공고,모집
,
일반대학원 신(편)입생 오리엔테이션 안내,학사
,
규정시행(20070901/20080201),학사
,
“G마켓 희망 장학금” 세부운영 안내,장학
,
한국고등교육재단 장학생 선발,장학
,
2008 인도네시아정부 초청 Darmasiswa 장학생 선발 안내,장학
,
2008/2009 대만정부 초청 장학생 선발요강,장학
,
2008년도 1학기 정부보증 학자금대출 안내,장학
,
