Title,Division
2008-2009 인도네시아정부 초청 장학생 선발요강,장학
,
2008년도 금강장학회 장학생 선발 요강,장학
,
2008학년도 이공계대학원연구장학생 지원 안내,장학
,
다단계판매 및 방문판매 등으로 인한 피해 예방 안내,행사
,
[2/4~8] 학생서비스센터 보관습득물 안내,모집
,
<총학생회MUV>오리엔테이션 물품제공 관련 사항,학생
,
졸업앨범 및 기념품 수령 안내,학사
,
08-1 석/박사과정 외국어시험 실시 및 면제신청안내,학사
,
“G마켓 희망 장학금” 세부운영 안내,장학
,
한국고등교육재단 장학생 선발,장학
,
2008 인도네시아정부 초청 Darmasiswa 장학생 선발 안내,장학
,
2008/2009 대만정부 초청 장학생 선발요강,장학
,
2008년도 1학기 정부보증 학자금대출 안내,장학
,
2008-2009 인도네시아정부 초청 장학생 선발요강,장학
,
2008년도 금강장학회 장학생 선발 요강,장학
,
2008학년도 이공계대학원연구장학생 지원 안내,장학
,
졸업앨범 및 기념품 수령안내,학사
,
2008년 전기 학부 편입생 설명회 개최,학사
,
<총학생회MUV>오리엔테이션 물품제공 관련 사항,학생
,
2008년 2월 16일(토) MOS테스트 시간안내,학사
,
건강체력실 3월 회원 모집합니다.,모집
,
교양 '결혼과가족' 수강신청에 대해,학사
,
“G마켓 희망 장학금” 세부운영 안내,장학
,
한국고등교육재단 장학생 선발,장학
,
2008 인도네시아정부 초청 Darmasiswa 장학생 선발 안내,장학
,
2008/2009 대만정부 초청 장학생 선발요강,장학
,
2008년도 1학기 정부보증 학자금대출 안내,장학
,
2008-2009 인도네시아정부 초청 장학생 선발요강,장학
,
2008학년도 이공계대학원연구장학생 지원 안내,장학
,
다단계판매 및 방문판매 등으로 인한 피해 예방 안내,행사
,
2008 신입생 오리엔테이션 안내,행사
,
‘08년도 1학기 경기도 기능경기대회 입상자 학비지원 안내,장학
,
서울시미래컨벤션도시육성사업단 연구원모집,모집
,
졸업앨범 및 기념품 수령 안내,학사
,
<총학생회MUV>오리엔테이션 과자 판매 관련 사항,학생
,
2008학년도 신(편)입생 학번조회,학사
,
<안물바센터>안물바정리,학사
,
“G마켓 희망 장학금” 세부운영 안내,장학
,
한국고등교육재단 장학생 선발,장학
,
2008 인도네시아정부 초청 Darmasiswa 장학생 선발 안내,장학
,
2008/2009 대만정부 초청 장학생 선발요강,장학
,
2008년도 1학기 정부보증 학자금대출 안내,장학
,
2008-2009 인도네시아정부 초청 장학생 선발요강,장학
,
2008년 전기 학부 편입생 설명회 개최,학사
,
2008학년도 숙명 글로벌화 프로젝트,장학
,
2008학년도 이공계대학원연구장학생 지원 안내,장학
,
다단계판매 및 방문판매 등으로 인한 피해 예방 안내,행사
,
2008학년도 1학기 튜터링 프로그램 시행 안내,학사
,
2008학년도 1학기 스터디그룹 프로그램 시행 안내,학사
,
‘08년도 1학기 경기도 기능경기대회 입상자 학비지원 안내,장학
,
학점취득특별시험신청기간연장(신입생포함),학사
,
<총학생회MUV>오리엔테이션 과자 판매 관련 사항,학생
,
[경영학부]보충과목이수대상자 알림,학사
,
국립중앙박물관에서 홍보인턴을 선발합니다.,모집
,
"[추천]이영민 교수님, 멘토프로그램 신청 안내",모집
,
88차(1월) 학사퀴즈 당첨자 발표!!,행사
,
졸업앨범 및 기념품 수령안내,학사
,
“G마켓 희망 장학금” 세부운영 안내,장학
,
한국고등교육재단 장학생 선발,장학
,
2008 인도네시아정부 초청 Darmasiswa 장학생 선발 안내,장학
,
2008/2009 대만정부 초청 장학생 선발요강,장학
,
2008년도 1학기 정부보증 학자금대출 안내,장학
,
2008-2009 인도네시아정부 초청 장학생 선발요강,장학
,
2008학년도 이공계대학원연구장학생 지원 안내,장학
,
다단계판매 및 방문판매 등으로 인한 피해 예방 안내,행사
,
‘08년도 1학기 경기도 기능경기대회 입상자 학비지원 안내,장학
,
2008학년도 경기도 광주시민장학회 장학생 선발공고,장학
,
박물관 · 미술관의 보존처리 이론과 실습 -숙명여자대학교 정영양자수박물관 특설교육과정 안내,행사
,
자수전문가/퀼트전문가 과정-숙명여자대학교 정영양자수박물관 특설교육과정 안내,행사
,
08-1 석/박사과정 외국어시험 실시 및 면제신청 안내,학사
,
법과대학 수업분반 공지,모집
,
사회봉사교과목 사전교육 안내,모집
,
[정보통신처]모바일학생증 3개이통사 확대서비스 오픈,학생
,
[문과대학] 2007학년도 학위수여식 행사 안내,행사
,
“G마켓 희망 장학금” 세부운영 안내,장학
,
한국고등교육재단 장학생 선발,장학
,
2008 인도네시아정부 초청 Darmasiswa 장학생 선발 안내,장학
,
2008/2009 대만정부 초청 장학생 선발요강,장학
,
2008년도 1학기 정부보증 학자금대출 안내,장학
,
2008-2009 인도네시아정부 초청 장학생 선발요강,장학
,
2008학년도 이공계대학원연구장학생 지원 안내,장학
,
다단계판매 및 방문판매 등으로 인한 피해 예방 안내,행사
,
‘08년도 1학기 경기도 기능경기대회 입상자 학비지원 안내,장학
,
2008학년도 경기도 광주시민장학회 장학생 선발공고,장학
,
2008년 1학기 업데이트 사이버강의,학사
,
2008/2009 터키정부 초청 장학생 선발요강,장학
,
[문과대학] 2007학년도 학위수여식 행사 안내,행사
,
08년 3월 MATE 졸업자격시험 시행 안내,학사
,
MATE 졸업자격시험안내입니다.,행사
,
<안물바센터>안물바정리,학사
,
2008학년도 숙명 글로벌화 프로젝트,장학
,
2008-1학기 튜터링 프로그램 시행 안내,학사
,
2008-1학기 스터디그룹 프로그램 시행 안내,모집
,
2008-1 조교교육 실시 안내,모집
,
08년 3월 MATE 졸업자격시험 시행 안내,학사
,
MATE 졸업자격시험안내입니다.,행사
,
2008년 2월 22일(금) MOS테스트 시간안내,학사
,
“G마켓 희망 장학금” 세부운영 안내,장학
,
한국고등교육재단 장학생 선발,장학
,
2008 인도네시아정부 초청 Darmasiswa 장학생 선발 안내,장학
,
2008/2009 대만정부 초청 장학생 선발요강,장학
,
2008년도 1학기 정부보증 학자금대출 안내,장학
,
2008-2009 인도네시아정부 초청 장학생 선발요강,장학
,
2008학년도 이공계대학원연구장학생 지원 안내,장학
,
다단계판매 및 방문판매 등으로 인한 피해 예방 안내,행사
,
‘08년도 1학기 경기도 기능경기대회 입상자 학비지원 안내,장학
,
2008학년도 경기도 광주시민장학회 장학생 선발공고,장학
,
2008/2009 터키정부 초청 장학생 선발요강,장학
,
[박물관]2008년도 행정인턴십 모집,모집
,
사회봉사교과목 사전교육 안내,모집
,
2008 신입생 오리엔테이션 안내,행사
,
옥수종합사회복지관 학교사회사업 실습생 모집 안내,모집
,
학사지원팀 행정인턴십모집,모집
,
졸업앨범 및 기념품 수령안내,학사
,
[SMU-TESOL] Weekend Workshop 개강안내,모집
,
2008.1학기 신규 시간제등록생 학번 안내,학사
,
꽃산달 운영 안내 - 08년 1학기,학사
,
2007학년도 학위수여식 개최 안내,학사
,
2008학년도 입학식 개최 안내,장학
,
2008-1학기 튜터링 프로그램 시행 안내,학사
,
2008-1학기 스터디그룹 프로그램 시행 안내,모집
,
08년 3월 MATE 졸업자격시험 시행 안내,학사
,
MATE 졸업자격시험안내입니다.,행사
,
“G마켓 희망 장학금” 세부운영 안내,장학
,
한국고등교육재단 장학생 선발,장학
,
2008 인도네시아정부 초청 Darmasiswa 장학생 선발 안내,장학
,
2008/2009 대만정부 초청 장학생 선발요강,장학
,
2008년도 1학기 정부보증 학자금대출 안내,장학
,
2008-2009 인도네시아정부 초청 장학생 선발요강,장학
,
2008학년도 이공계대학원연구장학생 지원 안내,장학
,
다단계판매 및 방문판매 등으로 인한 피해 예방 안내,행사
,
‘08년도 1학기 경기도 기능경기대회 입상자 학비지원 안내,장학
,
2008학년도 경기도 광주시민장학회 장학생 선발공고,장학
,
2007 전기 졸업(학위수여)증명서 발급 안내,학사
,
2008/2009 터키정부 초청 장학생 선발요강,장학
,
2008/2009 중국정부 초청 장학생 선발 요강,장학
,
<2008년도 이공계 국가장학생 선발 안내>,장학
,
학칙 및 학칙시행세칙 시행(20080218),학사
,
2007학년도 학위수여식 개최 안내,학사
,
졸업앨범 및 기념품 수령안내,학사
,
[문과대학] 2007학년도 학위수여식 행사 안내,행사
,
원하는 영어강좌를 내 맘대로!! - LinguaEx Membership Program,모집
,
2008학사모니터 추가모집,모집
,
[경제학과] 교육조교 급구,모집
,
08년 3월 MATE 졸업자격시험 시행 안내,학사
,
MATE 졸업자격시험안내입니다.,행사
,
“G마켓 희망 장학금” 세부운영 안내,장학
,
한국고등교육재단 장학생 선발,장학
,
2008 인도네시아정부 초청 Darmasiswa 장학생 선발 안내,장학
,
2008/2009 대만정부 초청 장학생 선발요강,장학
,
2008년도 1학기 정부보증 학자금대출 안내,장학
,
2008학년도 이공계대학원연구장학생 지원 안내,장학
,
다단계판매 및 방문판매 등으로 인한 피해 예방 안내,행사
,
‘08년도 1학기 경기도 기능경기대회 입상자 학비지원 안내,장학
,
2008학년도 경기도 광주시민장학회 장학생 선발공고,장학
,
2008/2009 터키정부 초청 장학생 선발요강,장학
,
2008/2009 중국정부 초청 장학생 선발 요강,장학
,
<2008년도 이공계 국가장학생 선발 안내>,장학
,
"[학부]08.1학기 휴학, 복학 신청 안내",학사
,
"[대학원]08.1학기 대학원 휴학, 복학 신청 안내",학사
,
2008-1학기 튜터링 프로그램 시행 안내,학사
,
2008-1학기 스터디그룹 프로그램 시행 안내,모집
,
봄시즌을 맞이한 항공권특가모음,행사
,
사회봉사교과목 OT 안내(수강자 필참),학사
,
2008 편입생 오리엔테이션 안내,장학
,
08학년도 학생증 발급 및 배부 안내,학사
,
[SMU-TESOL] Weekend Workshop 개강 안내,모집
,
08-1 학점취득특별시험 응시과목 및 시험장소 확인,학사
,
졸업앨범 및 기념품 수령안내,학사
,
경영전문대학원 입학식-3.1(토) 14시,학사
,
“G마켓 희망 장학금” 세부운영 안내,장학
,
한국고등교육재단 장학생 선발,장학
,
2008 인도네시아정부 초청 Darmasiswa 장학생 선발 안내,장학
,
2008/2009 대만정부 초청 장학생 선발요강,장학
,
2008년도 1학기 정부보증 학자금대출 안내,장학
,
2008학년도 이공계대학원연구장학생 지원 안내,장학
,
다단계판매 및 방문판매 등으로 인한 피해 예방 안내,행사
,
‘08년도 1학기 경기도 기능경기대회 입상자 학비지원 안내,장학
,
2008학년도 경기도 광주시민장학회 장학생 선발공고,장학
,
2008/2009 터키정부 초청 장학생 선발요강,장학
,
2008/2009 중국정부 초청 장학생 선발 요강,장학
,
<2008년도 이공계 국가장학생 선발 안내>,장학
,
2008 편입생 오리엔테이션 안내,장학
,
[2/18-22] 학생서비스센터 보관습득물 안내,장학
,
2008-1학기 튜터링 프로그램 시행 안내,학사
,
2008-1학기 스터디그룹 프로그램 시행 안내,모집
,
08년 3월 MATE 졸업자격시험 시행 안내,학사
,
MATE 졸업자격시험안내입니다.,행사
,
"[급]제2창학관 정전 (과학관, 도서관, 백주년 포함)",행사
,
졸업앨범 및 기념품 수령안내,학사
,
[학생생활상담소] 집단상담과 의사소통 과목에 대한 안내,모집
,
[2008 신입생 필독] 신입생 요람 배부장소 변경,행사
,
[교수학습]2008-1 영어강의 학습전략워크숍 안내,행사
,
<총학생회MUV>동아리 대표자 회의를 소집합니다,학생
,
08-1 일반대학원 외국어시험실시 및 면제신청안내,학사
,
<총학생회 MUV>각 학과 학회장을 소집합니다,학생
,
“G마켓 희망 장학금” 세부운영 안내,장학
,
한국고등교육재단 장학생 선발,장학
,
2008 인도네시아정부 초청 Darmasiswa 장학생 선발 안내,장학
,
2008/2009 대만정부 초청 장학생 선발요강,장학
,
2008년도 1학기 정부보증 학자금대출 안내,장학
,
2008학년도 이공계대학원연구장학생 지원 안내,장학
,
다단계판매 및 방문판매 등으로 인한 피해 예방 안내,행사
,
‘08년도 1학기 경기도 기능경기대회 입상자 학비지원 안내,장학
,
2008학년도 경기도 광주시민장학회 장학생 선발공고,장학
,
2008/2009 터키정부 초청 장학생 선발요강,장학
,
2008/2009 중국정부 초청 장학생 선발 요강,장학
,
2008년도 이공계 국가장학생 선발 안내,장학
,
2008 편입생 오리엔테이션 안내,장학
,
2008 글로벌화 프로젝트 모집,모집
,
(재공지)봄시즌 특가항공권모음,학사
,
<총학생회 MUV>각 학과의 학회장을 소집합니다,학생
,
신입생을 위한 성격유형검사(MBTI) 무료 실시 및 해석,모집
,
89차(2월) 학사퀴즈 응모하세요~,학사
,
08년 3월 MATE 졸업자격시험 시행 안내,학사
,
MATE 졸업자격시험안내입니다.,행사
,
2008-1학기 튜터링 프로그램 시행 안내,학사
,
2008-1학기 스터디그룹 프로그램 시행 안내,모집
,
"2008-1 조교교육 실시 안내(2/28, 09:30)",모집
,
아태여성정보통신원 행정인턴십 모집,모집
,
졸업앨범 및 기념품 수령안내,학사
,
"[교수학습센터]튜터, 튜티 모집",모집
,
교내 각 건물 승강기 격층 제한 운행 안내,학생
,
<총학생회MUV>입학식 학과별 홍보 안내문,학생
,
[H.Report 제20호] 명성은 원산지와 스토리 등 다양한 요인들의 복합적인 상호 작용으로 형성된다,학생
,
<총학생회MUV>3월 동아리 축제 신청서,행사
,
2008년 3월 1일(토) MOS테스트 시간안내,행사
,
대한항공 항공권 특별가 모음,행사
,
2008년 1학기 업데이트 사이버강의,학사
,
아시아나 및 새로나온 항공권 특별가 모음,학사
,
교내 행정부서 단기 아르바이트,모집
,
“G마켓 희망 장학금” 세부운영 안내,장학
,
한국고등교육재단 장학생 선발,장학
,
2008 인도네시아정부 초청 Darmasiswa 장학생 선발 안내,장학
,
08년 3월 MATE 졸업자격시험 시행 안내,학사
,
2008/2009 대만정부 초청 장학생 선발요강,장학
,
MATE 졸업자격시험안내입니다.,행사
,
2008년도 1학기 정부보증 학자금대출 안내,장학
,
2008학년도 이공계대학원연구장학생 지원 안내,장학
,
다단계판매 및 방문판매 등으로 인한 피해 예방 안내,행사
,
‘08년도 1학기 경기도 기능경기대회 입상자 학비지원 안내,장학
,
2008학년도 경기도 광주시민장학회 장학생 선발공고,장학
,
2008/2009 터키정부 초청 장학생 선발요강,장학
,
2008/2009 중국정부 초청 장학생 선발 요강,장학
,
2008년도 이공계 국가장학생 선발 안내,장학
,
2008 편입생 오리엔테이션 안내,장학
,
제1회 대학(원)생 IPU 총회 참관단 모집,모집
,
<총학생회MUV>입학식 학과 및 동아리 홍보 안내문,행사
,
규정시행(20080226),학사
,
사랑과 공격성 - 이성 선택의 역동 (제1강),모집
,
[일본학과]코난여대 연수단 도우미 모집,모집
,
[학생생활상담소] 집단상담과 의사소통 과목에 대한 안내,모집
,
사랑과 공격성-이성 선택의 역동 (2008학년도 1학기 일정),학사
,
<총학생회MUV>스쿨버스 운행 관련 공지,학생
,
[사이버강의] 학부사이버강의 로그인 테스트 안내,학사
,
[국문] 개강총회 공지,학사
,
"외국인교환학생 기증 물품 접수(휴대폰,교통카드 등)",학생
,
“G마켓 희망 장학금” 세부운영 안내,장학
,
한국고등교육재단 장학생 선발,장학
,
2008 인도네시아정부 초청 Darmasiswa 장학생 선발 안내,장학
,
2008/2009 대만정부 초청 장학생 선발요강,장학
,
2008년도 1학기 정부보증 학자금대출 안내,장학
,
2008학년도 이공계대학원연구장학생 지원 안내,장학
,
다단계판매 및 방문판매 등으로 인한 피해 예방 안내,행사
,
‘08년도 1학기 경기도 기능경기대회 입상자 학비지원 안내,장학
,
2008학년도 경기도 광주시민장학회 장학생 선발공고,장학
,
08년 3월 MATE 졸업자격시험 시행 안내,학사
,
2008/2009 터키정부 초청 장학생 선발요강,장학
,
MATE 졸업자격시험안내입니다.,행사
,
2008/2009 중국정부 초청 장학생 선발 요강,장학
,
2008년도 이공계 국가장학생 선발 안내,장학
,
2008 편입생 오리엔테이션 안내,장학
,
제1회 대학(원)생 IPU 총회 참관단 모집,모집
,
[경영전문대학원 교학팀] 행정인턴십 모집,모집
,
졸업앨범 및 기념품 수령안내,학사
,
"[교수학습센터]튜터, 튜티 모집",모집
,
"[교수학습센터]스터디그룹, 그룹원 모집",모집
,
숙명인재관 TESOL전화번호 변경,행사
,
(재공지) 봄시즌 각종항공권할인 모음,학사
,
(재공지)대한항공 항공권 특별가,학사
,
(재공지)아시아나 및 새로나온항공사특가모음,학사
,
<총학생회MUV> 각 학과의 학회장을 소집합니다.,학생
,
<총학생회MUV> 3월 동아리 축제 신청서,행사
,
<총학생회MUV> 스쿨버스 운행 관련 공지,학생
,
국내 박사과정 연구지원자 모집 안내,장학
,
[학생생활상담소] 집단상담과 의사소통 과목에 대한 안내,모집
,
사랑과 공격성 - 이성 선택의 역동 (제1강),모집
,
사랑과 공격성-이성 선택의 역동 (2008학년도 1학기 일정),학사
,
2008 숙명 글로벌화 프로젝트 모집,모집
,
신편입생 추가신체검사 안내,학사
,
가족자원경영학과 리더십캠프,모집
,
[학생생활상담소] 집단상담과 의사소통 과목에 대한 안내,모집
,
08년 3월 MATE 졸업자격시험 시행 안내,학사
,
MATE 졸업자격시험안내입니다.,행사
,
[도서관]대표번호 안내,행사
,
<총학생회MUV>각 학과 학회장을 소집합니다,학생
,
<총학생회MUV>3월 동아리 홍보축제 신청서,행사
,
[학생생활상담소] 집단상담과 의사소통 과목에 대한 안내,모집
,
사랑과 공격성 - 이성 선택의 역동 (제1강),모집
,
사랑과 공격성-이성 선택의 역동 (2008학년도 1학기 일정),학사
,
사랑의 헌혈 캠페인에 동참합시다.,행사
,
“G마켓 희망 장학금” 세부운영 안내,장학
,
한국고등교육재단 장학생 선발,장학
,
2008 인도네시아정부 초청 Darmasiswa 장학생 선발 안내,장학
,
2008/2009 대만정부 초청 장학생 선발요강,장학
,
2008년도 1학기 정부보증 학자금대출 안내,장학
,
2008학년도 이공계대학원연구장학생 지원 안내,장학
,
다단계판매 및 방문판매 등으로 인한 피해 예방 안내,행사
,
‘08년도 1학기 경기도 기능경기대회 입상자 학비지원 안내,장학
,
2008학년도 경기도 광주시민장학회 장학생 선발공고,장학
,
2008/2009 터키정부 초청 장학생 선발요강,장학
,
2008/2009 중국정부 초청 장학생 선발 요강,장학
,
2008년도 이공계 국가장학생 선발 안내,장학
,
제1회 대학(원)생 IPU 총회 참관단 모집,모집
,
국내 박사과정 연구지원자 모집 안내,장학
,
[SMU-TESOL] Weekend Workshop 개강안내,모집
,
"숙명인 여러분, 사랑의 헌혈에 참여하세요~",행사
,
<총학생회MUV>동아리 대표자를 소집합니다.,학생
,
각항공사별 항공권특가모음,학생
,
신입생 환영 이벤트 하나!,행사
,
졸업 앨범 및 기념품 수령안내,학사
,
[신입생]오리엔테이션 기념품 배부,행사
,
"[교수학습센터]튜터, 튜티 모집",모집
,
"[교수학습센터]스터디그룹, 그룹원 모집",모집
,
[경영전문대학원교학팀]행정인턴-마감,모집
,
사회봉사교과목 사전교육 안내,모집
,
[교수학습]영어강의학습전략워크숍(1차) 안내,행사
,
2008 신입생 오리엔테이션 영상물 열람 안내,행사
,
[학생생활상담소] 집단상담과 의사소통 과목에 대한 안내,모집
,
[일본학과]코난여대 연수단 도우미 모집 마감 안내,모집
,
학생증 즉석 발급 일시 중지 안내,학사
,
숙명가족장학금 신청안내,장학
,
우리 시대 명 강의를 찾아서 : '지혜인 리더십',모집
,
제4의 물결'이 무엇인지 아시나요?,행사
,
졸업인증 컴퓨터 자격증 취득이 가능한 교과목 안내,학사
,
[국문]'시와 삶' 멘토 모집,모집
,
보조교사 모집(사회봉사관심자 필독!),모집
,
[모집] 법학부 박수헌 교수님 멘토 프로그램,모집
,
[링구아] 박코치 소리영어 훈련소,모집
,
행정인턴십 모집 안내,모집
,
유명강사 초청 한자자격증취득특강안내,행사
,
2008학년도성옥장학생안내,장학
,
제4기숙명장학생봉사단신입단원모집,모집
,
[학생생활상담소] 집단상담과 의사소통 과목에 대한 안내,모집
,
사랑과 공격성 - 이성 선택의 역동 (제1강),모집
,
사랑과 공격성-이성 선택의 역동 (2008학년도 1학기 일정),학사
,
[한국음식연구원]14기 수강생 모집,모집
,
08년 3월 MATE 졸업자격시험 시행 안내,학사
,
MATE 졸업자격시험안내입니다.,행사
,
교수학습센터 행정인턴십 모집,모집
,
제4기숙명장학생봉사단신입단원버짐,모집
,
<총학생회MUV> 스쿨버스 운행 관련 공지,학생
,
[미국정치와외교]강의실변경,학사
,
사회봉사교과목 사전교육 안내,모집
,
졸업앨범 및 기념품 수령안내,학사
,
[SMU-TESOL] Weekend Workshop 개강안내,모집
,
<총학생회MUV>학생수첩 배부공지,행사
,
성공 5계명'+'행복 5계명'=지혜 10계명,학사
,
"[교수학습센터]튜터, 튜티 모집",모집
,
"[교수학습센터]스터디그룹, 그룹원 모집",모집
,
휴대인터넷Wibro무료체험+노트북특판행사,행사
,
학생증 발급 일시 중지 안내,학사
,
[장애학생]출석부 등재 희망자 조사,장학
,
<총학생회MUV> 3월 동아리 홍보축제 신청서,행사
,
<총학생회> 동아리 축제 학과 홍보 지원서,모집
,
08년 3월 MATE 졸업자격시험 시행 안내,학사
,
MATE 졸업자격시험안내입니다.,행사
,
2008-1 학점취득특별시험 결과 발표,학사
,
숙명장학봉사단신입단원모집,모집
,
[장애우]출석부등재희망조사,학생
,
[장애우]장애학생 도우미신청안내,모집
,
신편입생 추가 신체검사 안내,학사
,
졸업앨범 및 기념품 수령안내,학사
,
오늘 취업동아리가 궁금하다???,행사
,
[교수학습]영어강의 학습전략워크숍 접수 마감,행사
,
보조교사 모집(교육실습위임자 반드시신청!),모집
,
[학생생활상담소] 집단상담과 의사소통 과목에 대한 안내,모집
,
제4기숙명장학생봉사단신입단원모집,모집
,
2008학년도성옥장학생안내,장학
,
행정인턴십 모집 안내,모집
,
숙명가족장학금 신청안내,장학
,
2008 신입생 오리엔테이션 영상물 열람 안내,행사
,
국내 박사과정 연구지원자 모집 안내,장학
,
[신입생]오리엔테이션 기념품 배부,행사
,
제1회 대학(원)생 IPU 총회 참관단 모집,모집
,
2008년도 이공계 국가장학생 선발 안내,장학
,
2008/2009 중국정부 초청 장학생 선발 요강,장학
,
2008/2009 터키정부 초청 장학생 선발요강,장학
,
2008학년도 경기도 광주시민장학회 장학생 선발공고,장학
,
‘08년도 1학기 경기도 기능경기대회 입상자 학비지원 안내,장학
,
